"criterio","familia","modelo","modelo_global","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"loo","epistasia.epistasia","fit_kappa_comun_dia","epistasia.epistasia__fit_kappa_comun_dia",0,0,526.370152428206,28.7983557388463,61.5069472947627,2.80180591253467,-1052.74030485641,57.5967114776926
"loo","dirichlet.dirichlet","fit_dirich_phi_comun_dia","dirichlet.dirichlet__fit_dirich_phi_comun_dia",-6.04524408577994,4.40654466638242,520.324908342426,29.663908797915,59.7927375747118,4.48146413871128,-1040.64981668485,59.32781759583
"loo","epistasia.epistasia","fit_kappa_cond_dia","epistasia.epistasia__fit_kappa_cond_dia",-19.9599083626183,18.5177514215525,506.410244065588,46.203645892706,132.296395365963,11.4611063552727,-1012.82048813118,92.407291785412
"loo","dirichlet.dirichlet","fit_dirich_phi_cond_dia","dirichlet.dirichlet__fit_dirich_phi_cond_dia",-21.4085337106997,7.60479698864939,504.961618717506,29.2918768630812,102.556952675739,11.5453082602779,-1009.92323743501,58.5837537261624
"loo","lognormal_sum0.lognormal_sum0","fit_lognor_v1_dia_sum0coef_revisado","lognormal_sum0.lognormal_sum0__fit_lognor_v1_dia_sum0coef_revisado",-40.9469015533933,15.9506238548743,485.423250874813,44.2947597438539,79.3263058588036,7.38428288299761,-970.846501749625,88.5895194877079
"loo","lognormal_sum0.lognormal_sum0","fit_lognor_v1_sum0coef_revisado","lognormal_sum0.lognormal_sum0__fit_lognor_v1_sum0coef_revisado",-58.6172107361205,17.2853258482787,467.752941692085,44.7770414161386,48.5565675685884,7.27471636850859,-935.505883384171,89.5540828322772
"loo","lognormal_sum0.lognormal_sum0","fit_lognor_v1_dia_sum0coef_delta_comun_revisado","lognormal_sum0.lognormal_sum0__fit_lognor_v1_dia_sum0coef_delta_comun_revisado",-76.6972400483498,16.7978856003577,449.672912379856,45.1736078648245,67.7528468967448,7.89912654032504,-899.345824759712,90.3472157296491
"loo","lognormal_sum0.lognormal_sum0","fit_lognor_v1_sum0coef_delta_comun_revisado","lognormal_sum0.lognormal_sum0__fit_lognor_v1_sum0coef_delta_comun_revisado",-83.8765182264075,17.5646932951052,442.493634201798,45.354506056692,35.9296581135067,5.43614364929353,-884.987268403597,90.709012113384
"loo","epistasia.epistasia","fit_kappa_cond","epistasia.epistasia__fit_kappa_cond",-103.539334291197,14.0295557758374,422.830818137009,38.2400947442891,38.740657419633,6.89635344639838,-845.661636274019,76.4801894885781
"loo","epistasia.epistasia","fit_kappa_comun","epistasia.epistasia__fit_kappa_comun",-105.98706505305,17.5292605247154,420.383087375156,39.5607035486532,35.7767511860036,10.0753354418441,-840.766174750312,79.1214070973063
"loo","dirichlet.dirichlet","fit_dirich_phi_comun","dirichlet.dirichlet__fit_dirich_phi_comun",-106.223885397521,12.8348369004829,420.146267030685,37.6504220451469,32.6070831006653,6.09132639313222,-840.292534061371,75.3008440902937
"loo","dirichlet.dirichlet","fit_dirich_phi_cond","dirichlet.dirichlet__fit_dirich_phi_cond",-107.249401894377,12.1979376649341,419.120750533829,37.5496022368502,39.4227305411353,4.36649763304567,-838.241501067658,75.0992044737004
